,Name,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Genres,Image
74,Tiki Towers LITE,https://is5-ssl.mzstatic.com/image/thumb/Purple/v4/70/fe/ac/70feac02-cb12-7088-0b11-dca3e45f3a2b/source/512x512bb.jpg,3.5,29495.0,0.0,,"Games, Entertainment, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
75,Gun Runner +,https://is5-ssl.mzstatic.com/image/thumb/Purple128/v4/53/00/e7/5300e7cb-eaa6-2586-5152-5f7e5eee91a7/source/512x512bb.jpg,2.5,5462.0,0.0,"0.99, 0.99, 0.99","Games, Entertainment, Adventure, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
76,Polycubes,https://is3-ssl.mzstatic.com/image/thumb/Purple4/v4/fc/4d/a5/fc4da581-194d-8d9f-f803-fd5226d69a54/source/512x512bb.jpg,3.5,19.0,0.0,,"Games, Strategy, Entertainment, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
77,Port Defender\xae - 2D Field Defense,https://is2-ssl.mzstatic.com/image/thumb/Purple69/v4/77/06/72/77067212-bf6b-8e9b-203e-c57a9379d0f3/source/512x512bb.jpg,3.5,860.0,0.0,"0.99, 1.99, 0.99, 0.99","Games, Strategy, Action, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
78,"""Sally's Spa""",https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/d8/6f/e7/d86fe774-ee77-ec70-ca33-0f251eb8024a/source/512x512bb.jpg,4.5,35199.0,2.99,,"Games, Strategy, Entertainment, Action",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
79,Port Defender\xae Lite - 2D Field Defense,https://is1-ssl.mzstatic.com/image/thumb/Purple49/v4/a2/40/b2/a240b272-1c60-039f-e719-78c8e4bdcf84/source/512x512bb.jpg,3.0,5013.0,0.0,,"Games, Strategy, Action, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
80,"""Tap 'n' Pop Classic: Balloon Group Remove""",https://is2-ssl.mzstatic.com/image/thumb/Purple128/v4/44/34/17/4434170c-aeee-dd9a-6d8a-896f955af9d5/source/512x512bb.jpg,3.5,1119.0,2.99,,"Games, Entertainment, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
81,Conquest (+ all maps),https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/3b/c5/a1/3bc5a113-44e3-7e8a-339b-bc558b1add4a/source/512x512bb.jpg,3.5,2606.0,4.99,,"Games, Board, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
82,Shredder Chess,https://is4-ssl.mzstatic.com/image/thumb/Purple71/v4/f6/ee/f3/f6eef33d-676b-cace-914c-259c681bb305/source/512x512bb.jpg,4.5,863.0,3.99,,"Games, Board, Education, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
83,Wordology Lite,https://is2-ssl.mzstatic.com/image/thumb/Purple118/v4/ba/72/c7/ba72c7a8-4078-c6e6-10e5-feff77a0e308/source/512x512bb.jpg,3.0,1926.0,0.0,,"Games, Strategy, Entertainment, Word",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
84,"Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)",https://is4-ssl.mzstatic.com/image/thumb/Purple/v4/1a/cc/b1/1accb126-2974-ab7d-0523-b00ab938e053/source/512x512bb.jpg,2.5,1848.0,0.0,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
85,"""Tap 'n' Pop Classic (Lite): Balloon Group Remove""",https://is2-ssl.mzstatic.com/image/thumb/Purple118/v4/cc/67/3a/cc673a39-8c33-1263-959d-24e0c52ce6dc/source/512x512bb.jpg,3.0,24821.0,0.0,,"Games, Entertainment, Puzzle, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
86,Tournament Reversi Free,https://is4-ssl.mzstatic.com/image/thumb/Purple/v4/92/c1/1e/92c11e7c-d1c1-00a6-4d73-678a9b7d564e/source/512x512bb.jpg,3.5,2503.0,0.0,,"Games, Board, Strategy, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
87,Bloons,https://is1-ssl.mzstatic.com/image/thumb/Purple/v4/99/2d/3a/992d3af1-69d0-f4ca-3e31-26b9f3dd9d00/source/512x512bb.jpg,4.0,16693.0,0.99,,"Games, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
88,Chess \u2219,https://is1-ssl.mzstatic.com/image/thumb/Purple115/v4/32/10/47/32104711-47e3-224b-9c65-7cae1a092c17/source/512x512bb.jpg,3.5,191081.0,0.0,,"Games, Strategy, Entertainment, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
89,Chess Premium,https://is5-ssl.mzstatic.com/image/thumb/Purple118/v4/8a/42/6f/8a426f16-d342-615a-19cd-9262c9aea5ed/source/512x512bb.jpg,4.0,2767.0,1.99,,"Games, Entertainment, Board, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
